source_id,source_name,iso3_country,original_inventory_sector,start_time,end_time,source_type,capacity,capacity_factor,activity,co2_emissions_factor,ch4_emissions_factor,n2o_emissions_factor,co2_emissions,ch4_emissions,n2o_emissions,total_co2e_20yrgwp,created_date,modified_date,total_co2e_100yrgwp
25777947,"Arari, Região Geográfica Imediata De Viana, Região Geográfica Intermediária De São Luís",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777947,"Arari, Região Geográfica Imediata De Viana, Região Geográfica Intermediária De São Luís",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25770976,Asmoc,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,medium,,medium,low,,,low,,,low,2023-11-08 00:00:00,,low
25770976,Asmoc,BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,medium,,medium,low,,,low,,,low,2023-11-08 00:00:00,,low
25777917,"Avenida Antônio Fernandes Viana De Assis, Industrial, Boquim",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777917,"Avenida Antônio Fernandes Viana De Assis, Industrial, Boquim",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776767,"Avenida Rui Barbosa, Nova Gloria, Glória Do Goitá",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776767,"Avenida Rui Barbosa, Nova Gloria, Glória Do Goitá",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25778061,"Açailândia, Região Geográfica Imediata De Açailândia, Região Geográfica Intermediária De Imperatriz",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25778061,"Açailândia, Região Geográfica Imediata De Açailândia, Região Geográfica Intermediária De Imperatriz",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777500,"Ba-001, Nazaré, Região Geográfica Imediata De Nazaré – Maragogipe",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777500,"Ba-001, Nazaré, Região Geográfica Imediata De Nazaré – Maragogipe",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776917,"Ba-046, Cidade De Deus, Itaberaba",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776917,"Ba-046, Cidade De Deus, Itaberaba",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777655,"Ba-046, Distrito De Riachão Do Utinga, Utinga",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777655,"Ba-046, Distrito De Riachão Do Utinga, Utinga",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777279,"Ba-290, Caxangá, Alcobaça",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777279,"Ba-290, Caxangá, Alcobaça",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777866,"Ba-878, Cabuçu, Saubara",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777866,"Ba-878, Cabuçu, Saubara",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777324,"Bacabal, Região Geográfica Imediata De Bacabal, Região Geográfica Intermediária De Santa Inês-Bacabal",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777324,"Bacabal, Região Geográfica Imediata De Bacabal, Região Geográfica Intermediária De Santa Inês-Bacabal",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25770989,Bandeirantes,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,medium,,high,low,,,medium,,,low,2023-11-08 00:00:00,,low
25770989,Bandeirantes,BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,medium,,high,low,,,medium,,,low,2023-11-08 00:00:00,,low
25777942,"Barra Da Estiva, Itapé, Região Geográfica Imediata De Ilhéus – Itabuna",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777942,"Barra Da Estiva, Itapé, Região Geográfica Imediata De Ilhéus – Itabuna",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777009,"Baturité, Região Geográfica Imediata De Redenção-Acarape, Região Geográfica Intermediária De Fortaleza",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777009,"Baturité, Região Geográfica Imediata De Redenção-Acarape, Região Geográfica Intermediária De Fortaleza",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25772101,Betim,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,medium,,medium,low,,,low,,,low,2023-11-08 00:00:00,,low
25772101,Betim,BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,medium,,medium,low,,,low,,,low,2023-11-08 00:00:00,,low
25776781,"Boa Vista, Castanhal, Região Geográfica Imediata De Castanhal",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776781,"Boa Vista, Castanhal, Região Geográfica Imediata De Castanhal",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777202,"Br-030, Saquaíra, Maraú",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777202,"Br-030, Saquaíra, Maraú",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777432,"Br-330, Piabanha, Maraú",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777432,"Br-330, Piabanha, Maraú",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777470,"Br-419, Bairro Nova Aquidauana, Aquidauana",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777470,"Br-419, Bairro Nova Aquidauana, Aquidauana",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777585,"Caiapó, Pirapetinga, Região Geográfica Imediata De Além Paraíba",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777585,"Caiapó, Pirapetinga, Região Geográfica Imediata De Além Paraíba",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25778043,"Camocim, Região Geográfica Imediata De Camocim, Região Geográfica Intermediária De Sobral",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25778043,"Camocim, Região Geográfica Imediata De Camocim, Região Geográfica Intermediária De Sobral",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25772119,Campinas,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,medium,,high,low,,,medium,,,low,2023-11-08 00:00:00,,low
25772119,Campinas,BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,medium,,high,low,,,medium,,,low,2023-11-08 00:00:00,,low
25777163,"Campo Do Brito, Região Geográfica Imediata De Itabaiana, Região Geográfica Intermediária De Itabaiana",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777163,"Campo Do Brito, Região Geográfica Imediata De Itabaiana, Região Geográfica Intermediária De Itabaiana",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777597,"Campo Formoso, Região Geográfica Imediata De Senhor Do Bonfim, Região Geográfica Intermediária De Juazeiro",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777597,"Campo Formoso, Região Geográfica Imediata De Senhor Do Bonfim, Região Geográfica Intermediária De Juazeiro",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777047,"Campo Grande, Região Geográfica Imediata De Itabaiana, Região Metropolitana De Itabaiana",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777047,"Campo Grande, Região Geográfica Imediata De Itabaiana, Região Metropolitana De Itabaiana",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777154,"Caraparu, Santa Izabel Do Pará, Região Geográfica Imediata De Belém",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777154,"Caraparu, Santa Izabel Do Pará, Região Geográfica Imediata De Belém",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776989,"Cascavel, Região Geográfica Imediata De Fortaleza, Região Geográfica Intermediária De Fortaleza",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776989,"Cascavel, Região Geográfica Imediata De Fortaleza, Região Geográfica Intermediária De Fortaleza",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777006,"Ce-354, Amanari, Maranguape",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777006,"Ce-354, Amanari, Maranguape",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776913,"Ce-497, Corrego Do Moreira, Itapeim",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776913,"Ce-497, Corrego Do Moreira, Itapeim",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776898,"Codó, Região Geográfica Imediata De Codó, Região Geográfica Intermediária De Caxias",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776898,"Codó, Região Geográfica Imediata De Codó, Região Geográfica Intermediária De Caxias",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25778065,"Coroatá, Região Geográfica Imediata De Codó, Região Geográfica Intermediária De Caxias",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25778065,"Coroatá, Região Geográfica Imediata De Codó, Região Geográfica Intermediária De Caxias",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777728,"Cova Da Onça, Malhador, Região Geográfica Imediata De Itabaiana",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777728,"Cova Da Onça, Malhador, Região Geográfica Imediata De Itabaiana",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777336,"Crato, Região Geográfica Imediata De Juazeiro Do Norte, Região Geográfica Intermediária De Juazeiro Do Norte",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777336,"Crato, Região Geográfica Imediata De Juazeiro Do Norte, Região Geográfica Intermediária De Juazeiro Do Norte",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25772178,Ctr Candeias Landfill,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,medium,,medium,low,,,low,,,low,2023-11-08 00:00:00,,low
25772178,Ctr Candeias Landfill,BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,medium,,medium,low,,,low,,,low,2023-11-08 00:00:00,,low
25772179,Ctr-Pe,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,medium,,medium,low,,,low,,,low,2023-11-08 00:00:00,,low
25772179,Ctr-Pe,BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,medium,,medium,low,,,low,,,low,2023-11-08 00:00:00,,low
25772182,Cuiabá,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,medium,,high,low,,,medium,,,low,2023-11-08 00:00:00,,low
25772182,Cuiabá,BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,medium,,high,low,,,medium,,,low,2023-11-08 00:00:00,,low
25777696,"Demerval Lobão, Região Geográfica Imediata De Teresina, Região Integrada De Desenvolvimento Da Grande Teresina",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777696,"Demerval Lobão, Região Geográfica Imediata De Teresina, Região Integrada De Desenvolvimento Da Grande Teresina",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777287,"Distrito De Munim, Tibau Do Sul, Região Geográfica Imediata De Canguaretama",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777287,"Distrito De Munim, Tibau Do Sul, Região Geográfica Imediata De Canguaretama",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776594,"Ecit De Guarabira, Pb-073, Distrito Industrial",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776594,"Ecit De Guarabira, Pb-073, Distrito Industrial",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777283,"Encruzilhada De São João, Bezerros, Região Geográfica Imediata De Caruaru",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777283,"Encruzilhada De São João, Bezerros, Região Geográfica Imediata De Caruaru",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776651,"Entre Rios, Região Geográfica Imediata De Alagoinhas, Região Geográfica Intermediária De Salvador",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776651,"Entre Rios, Região Geográfica Imediata De Alagoinhas, Região Geográfica Intermediária De Salvador",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776902,"Estação De Transferência De Resíduos Do Jangurussu, 1665, Estrada Do Itaperi",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776902,"Estação De Transferência De Resíduos Do Jangurussu, 1665, Estrada Do Itaperi",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777111,"Estrada Da Caixa D'Água, Carpina, Região Geográfica Imediata De Carpina",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777111,"Estrada Da Caixa D'Água, Carpina, Região Geográfica Imediata De Carpina",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777083,"Estrada Da Chã Do Ouro, Chã Do Ouro, Paudalho",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777083,"Estrada Da Chã Do Ouro, Chã Do Ouro, Paudalho",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776525,"Estrada Do Aurá, Aurá, Entroncamento",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776525,"Estrada Do Aurá, Aurá, Entroncamento",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777507,"Estrada Malhada Do Coqueiro, Nossa Senhora Das Dores, Região Geográfica Imediata De Aracaju",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777507,"Estrada Malhada Do Coqueiro, Nossa Senhora Das Dores, Região Geográfica Imediata De Aracaju",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25778118,Estrutural,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,medium,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25778118,Estrutural,BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,medium,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25778026,"Ete Itapipoca, Avenida Perimetral, Itapipoca",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25778026,"Ete Itapipoca, Avenida Perimetral, Itapipoca",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776626,"Eunápolis, Região Geográfica Imediata De Eunápolis - Porto Seguro, Região Geográfica Intermediária De Ilhéus-Itabuna",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25776626,"Eunápolis, Região Geográfica Imediata De Eunápolis - Porto Seguro, Região Geográfica Intermediária De Ilhéus-Itabuna",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25772268,Feira De Santana,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,medium,,medium,low,,,low,,,low,2023-11-08 00:00:00,,low
25772268,Feira De Santana,BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,medium,,medium,low,,,low,,,low,2023-11-08 00:00:00,,low
25777682,"Floresta Azul, Região Geográfica Imediata De Ilhéus – Itabuna, Região Geográfica Intermediária De Ilhéus-Itabuna",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777682,"Floresta Azul, Região Geográfica Imediata De Ilhéus – Itabuna, Região Geográfica Intermediária De Ilhéus-Itabuna",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777072,"Floriano, Região Geográfica Imediata De Floriano, Região Geográfica Intermediária De Floriano",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777072,"Floriano, Região Geográfica Imediata De Floriano, Região Geográfica Intermediária De Floriano",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777351,"Gererau, Itaitinga, Região Geográfica Imediata De Fortaleza",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777351,"Gererau, Itaitinga, Região Geográfica Imediata De Fortaleza",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25772280,Gericino,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,medium,,medium,low,,,low,,,low,2023-11-08 00:00:00,,low
25772280,Gericino,BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,medium,,medium,low,,,low,,,low,2023-11-08 00:00:00,,low
25772285,Goiania,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,medium,,medium,low,,,low,,,low,2023-11-08 00:00:00,,low
25772285,Goiania,BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,medium,,medium,low,,,low,,,low,2023-11-08 00:00:00,,low
25777055,"Guaicurus, Corumbá, Região Geográfica Imediata De Corumbá",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777055,"Guaicurus, Corumbá, Região Geográfica Imediata De Corumbá",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777132,"Ilhéus, Região Geográfica Imediata De Ilhéus – Itabuna, Região Geográfica Intermediária De Ilhéus-Itabuna",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777132,"Ilhéus, Região Geográfica Imediata De Ilhéus – Itabuna, Região Geográfica Intermediária De Ilhéus-Itabuna",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777750,"Imbé, Região Geográfica Imediata De Tramandaí - Osório, Aglomeração Urbana Do Litoral Norte",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777750,"Imbé, Região Geográfica Imediata De Tramandaí - Osório, Aglomeração Urbana Do Litoral Norte",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777312,"Itabuna, Região Geográfica Imediata De Ilhéus – Itabuna, Região Geográfica Intermediária De Ilhéus-Itabuna",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777312,"Itabuna, Região Geográfica Imediata De Ilhéus – Itabuna, Região Geográfica Intermediária De Ilhéus-Itabuna",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777669,"Itacaré, Região Geográfica Imediata De Ilhéus – Itabuna, Região Geográfica Intermediária De Ilhéus-Itabuna",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777669,"Itacaré, Região Geográfica Imediata De Ilhéus – Itabuna, Região Geográfica Intermediária De Ilhéus-Itabuna",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777563,"Itapecuru-Mirim, Região Geográfica Imediata De Itapecuru Mirim, Região Geográfica Intermediária De São Luís",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777563,"Itapecuru-Mirim, Região Geográfica Imediata De Itapecuru Mirim, Região Geográfica Intermediária De São Luís",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777812,"Itaqui Airport, Br-472, Ibicuí",BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25777812,"Itaqui Airport, Br-472, Ibicuí",BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,high,very high,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
25778074,Jardim Gramacho,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,high,medium,,low,low,,,low,,,low,2023-11-08 00:00:00,,low
